,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl,Player
14,2018-19,33,WAS,NBA,C,9,9,230,43,69,0.623,0,0,,43,69,0.623,0.623,29,48,0.604,24,59,83,4,7,4,16,34,115,,0.0,"
Dwight Howard
"
15,2019-20,34,LAL,NBA,C,69,2,1306,202,277,0.729,3,5,0.6,199,272,0.732,0.735,110,214,0.514,172,335,507,45,31,79,84,222,517,,0.0,"
Dwight Howard
"
16,2020-21,35,PHI,NBA,C,69,6,1196,178,303,0.587,5,20,0.25,173,283,0.611,0.596,121,210,0.576,190,390,580,61,30,62,112,200,482,,0.0,"
Dwight Howard
"
17,2021-22,36,LAL,NBA,C,60,27,971,134,219,0.612,8,15,0.533,126,204,0.618,0.63,96,146,0.658,118,238,356,35,34,36,47,115,372,,0.0,"
Dwight Howard
"
0,2009-10,22,MIN,NBA,SG,76,1,1384,190,448,0.424,64,162,0.395,126,286,0.441,0.496,61,70,0.871,33,126,159,74,20,5,74,72,505,,,"
Wayne Ellington
"
1,2010-11,23,MIN,NBA,SG,62,8,1181,160,397,0.403,48,121,0.397,112,276,0.406,0.463,42,53,0.792,26,82,108,72,28,3,53,85,410,,,"
Wayne Ellington
"
2,2011-12,24,MIN,NBA,SG,51,4,973,122,302,0.404,35,108,0.324,87,194,0.448,0.462,32,40,0.8,14,85,99,33,26,10,26,56,311,,,"
Wayne Ellington
"
3,2012-13,25,TOT,NBA,SG,78,21,1661,226,529,0.427,94,240,0.392,132,289,0.457,0.516,68,75,0.907,25,141,166,104,45,3,57,81,614,,,"
Wayne Ellington
"
4,2012-13,25,MEM,NBA,SG,40,4,676,81,199,0.407,41,97,0.423,40,102,0.392,0.51,15,16,0.938,5,47,52,42,16,1,24,38,218,,,"
Wayne Ellington
"
5,2012-13,25,CLE,NBA,SG,38,17,985,145,330,0.439,53,143,0.371,92,187,0.492,0.52,53,59,0.898,20,94,114,62,29,2,33,43,396,,,"
Wayne Ellington
"
6,2013-14,26,DAL,NBA,SG,45,1,393,55,126,0.437,25,59,0.424,30,67,0.448,0.536,10,11,0.909,8,35,43,19,16,2,11,33,145,,,"
Wayne Ellington
"
7,2014-15,27,LAL,NBA,SG,65,36,1675,254,617,0.412,90,243,0.37,164,374,0.439,0.485,52,64,0.813,31,179,210,105,33,2,50,77,650,,,"
Wayne Ellington
"
8,2015-16,28,BRK,NBA,SG,76,41,1615,218,561,0.389,96,268,0.358,122,293,0.416,0.474,54,63,0.857,20,154,174,83,48,5,45,82,586,,,"
Wayne Ellington
"
