,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl,Player
2,2005-06,21,CLE,NBA,SF,79,79,3361,875,1823,0.48,127,379,0.335,748,1444,0.518,0.515,601,814,0.738,75,481,556,521,123,66,260,181,2478,,5.0,"
LeBron James
"
3,2006-07,22,CLE,NBA,SF,78,78,3190,772,1621,0.476,99,310,0.319,673,1311,0.513,0.507,489,701,0.698,83,443,526,470,125,55,250,171,2132,,1.0,"
LeBron James
"
4,2007-08,23,CLE,NBA,SF,75,74,3027,794,1642,0.484,113,359,0.315,681,1283,0.531,0.518,549,771,0.712,133,459,592,539,138,81,255,165,2250,,7.0,"
LeBron James
"
5,2008-09,24,CLE,NBA,SF,81,81,3054,789,1613,0.489,132,384,0.344,657,1229,0.535,0.53,594,762,0.78,106,507,613,587,137,93,241,139,2304,,7.0,"
LeBron James
"
6,2009-10,25,CLE,NBA,SF,76,76,2966,768,1528,0.503,129,387,0.333,639,1141,0.56,0.545,593,773,0.767,71,483,554,651,125,77,261,119,2258,,4.0,"
LeBron James
"
7,2010-11,26,MIA,NBA,SF,79,79,3063,758,1485,0.51,92,279,0.33,666,1206,0.552,0.541,503,663,0.759,80,510,590,554,124,50,284,163,2111,,4.0,"
LeBron James
"
8,2011-12,27,MIA,NBA,SF,62,62,2326,621,1169,0.531,54,149,0.362,567,1020,0.556,0.554,387,502,0.771,94,398,492,387,115,50,213,96,1683,,0.0,"
LeBron James
"
9,2012-13,28,MIA,NBA,PF,76,76,2877,765,1354,0.565,103,254,0.406,662,1100,0.602,0.603,403,535,0.753,97,513,610,551,129,67,226,110,2036,,4.0,"
LeBron James
"
10,2013-14,29,MIA,NBA,PF,77,77,2902,767,1353,0.567,116,306,0.379,651,1047,0.622,0.61,439,585,0.75,81,452,533,488,121,26,270,126,2089,,1.0,"
LeBron James
"
11,2014-15,30,CLE,NBA,SF,69,69,2493,624,1279,0.488,120,339,0.354,504,940,0.536,0.535,375,528,0.71,51,365,416,511,109,49,272,135,1743,,2.0,"
LeBron James
"
12,2015-16,31,CLE,NBA,SF,76,76,2709,737,1416,0.52,87,282,0.309,650,1134,0.573,0.551,359,491,0.731,111,454,565,514,104,49,249,143,1920,,3.0,"
LeBron James
"
13,2016-17,32,CLE,NBA,SF,74,74,2794,736,1344,0.548,124,342,0.363,612,1002,0.611,0.594,358,531,0.674,97,542,639,646,92,44,303,134,1954,,13.0,"
LeBron James
"
14,2017-18,33,CLE,NBA,PF,82,82,3026,857,1580,0.542,149,406,0.367,708,1174,0.603,0.59,388,531,0.731,97,612,709,747,116,71,347,136,2251,,18.0,"
LeBron James
"
15,2018-19,34,LAL,NBA,SF,55,55,1937,558,1095,0.51,111,327,0.339,447,768,0.582,0.56,278,418,0.665,57,408,465,454,72,33,197,94,1505,,8.0,"
LeBron James
"
16,2019-20,35,LAL,NBA,PG,67,67,2316,643,1303,0.493,148,425,0.348,495,878,0.564,0.55,264,381,0.693,66,459,525,684,78,36,261,118,1698,,13.0,"
LeBron James
"
17,2020-21,36,LAL,NBA,PG,45,45,1504,422,823,0.513,104,285,0.365,318,538,0.591,0.576,178,255,0.698,29,317,346,350,48,25,168,70,1126,,5.0,"
LeBron James
"
18,2021-22,37,LAL,NBA,SF,56,56,2084,640,1221,0.524,161,448,0.359,479,773,0.62,0.59,254,336,0.756,63,396,459,349,73,59,196,121,1695,,6.0,"
LeBron James
"
0,2007-08,19,SEA,NBA,SG,80,80,2768,587,1366,0.43,59,205,0.288,528,1161,0.455,0.451,391,448,0.873,70,278,348,192,78,75,232,122,1624,,0.0,"
Kevin Durant
"
1,2008-09,20,OKC,NBA,SF,74,74,2885,661,1390,0.476,97,230,0.422,564,1160,0.486,0.51,452,524,0.863,77,405,482,205,96,53,225,134,1871,,0.0,"
Kevin Durant
"
2,2009-10,21,OKC,NBA,SF,82,82,3239,794,1668,0.476,128,351,0.365,666,1317,0.506,0.514,756,840,0.9,105,518,623,231,112,84,271,171,2472,,0.0,"
Kevin Durant
"
3,2010-11,22,OKC,NBA,SF,78,78,3038,711,1538,0.462,145,414,0.35,566,1124,0.504,0.509,594,675,0.88,57,476,533,214,88,76,218,159,2161,,0.0,"
Kevin Durant
"
4,2011-12,23,OKC,NBA,SF,66,66,2546,643,1297,0.496,133,344,0.387,510,953,0.535,0.547,431,501,0.86,40,487,527,231,88,77,248,133,1850,,0.0,"
Kevin Durant
"
5,2012-13,24,OKC,NBA,SF,81,81,3119,731,1433,0.51,139,334,0.416,592,1099,0.539,0.559,679,750,0.905,46,594,640,374,116,105,280,143,2280,,3.0,"
Kevin Durant
"
6,2013-14,25,OKC,NBA,SF,81,81,3122,849,1688,0.503,192,491,0.391,657,1197,0.549,0.56,703,805,0.873,58,540,598,445,103,59,285,174,2593,,3.0,"
Kevin Durant
"
7,2014-15,26,OKC,NBA,SF,27,27,913,238,467,0.51,64,159,0.403,174,308,0.565,0.578,146,171,0.854,16,162,178,110,24,25,74,40,686,,0.0,"
Kevin Durant
"
8,2015-16,27,OKC,NBA,SF,72,72,2578,698,1381,0.505,186,481,0.387,512,900,0.569,0.573,447,498,0.898,45,544,589,361,69,85,250,137,2029,,1.0,"
Kevin Durant
"
9,2016-17,28,GSW,NBA,PF,62,62,2070,551,1026,0.537,117,312,0.375,434,714,0.608,0.594,336,384,0.875,39,474,513,300,66,99,138,117,1555,,1.0,"
Kevin Durant
"
10,2017-18,29,GSW,NBA,SF,68,68,2325,630,1222,0.516,173,413,0.419,457,809,0.565,0.586,359,404,0.889,31,433,464,366,50,119,207,133,1792,,2.0,"
Kevin Durant
"
11,2018-19,30,GSW,NBA,SF,78,78,2702,721,1383,0.521,137,388,0.353,584,995,0.587,0.571,448,506,0.885,33,464,497,457,58,84,225,155,2027,,2.0,"
Kevin Durant
"
12,2020-21,32,BRK,NBA,PF,35,32,1157,324,603,0.537,85,189,0.45,239,414,0.577,0.608,210,238,0.882,13,234,247,195,25,45,120,70,943,,0.0,"
Kevin Durant
"
13,2021-22,33,BRK,NBA,PF,55,55,2047,578,1115,0.518,115,300,0.383,463,815,0.568,0.57,372,409,0.91,29,378,407,351,48,52,191,113,1643,,4.0,"
Kevin Durant
"
0,2013-14,19,MIL,NBA,SF,77,23,1897,173,418,0.414,41,118,0.347,132,300,0.44,0.463,138,202,0.683,78,261,339,150,60,61,122,173,525,,0.0,"
Giannis Antetokounmpo
"
1,2014-15,20,MIL,NBA,SG,81,71,2541,383,780,0.491,7,44,0.159,376,736,0.511,0.496,257,347,0.741,100,442,542,207,73,85,173,254,1030,,0.0,"
Giannis Antetokounmpo
"
2,2015-16,21,MIL,NBA,PG,80,79,2823,513,1013,0.506,28,109,0.257,485,904,0.537,0.52,296,409,0.724,113,499,612,345,94,113,208,258,1350,,5.0,"
Giannis Antetokounmpo
"
3,2016-17,22,MIL,NBA,SF,80,80,2845,656,1259,0.521,49,180,0.272,607,1079,0.563,0.541,471,612,0.77,142,558,700,434,131,151,234,246,1832,,3.0,"
Giannis Antetokounmpo
"
4,2017-18,23,MIL,NBA,PF,75,75,2756,742,1402,0.529,43,140,0.307,699,1262,0.554,0.545,487,641,0.76,156,597,753,361,109,106,223,231,2014,,1.0,"
Giannis Antetokounmpo
"
5,2018-19,24,MIL,NBA,PF,72,72,2358,721,1247,0.578,52,203,0.256,669,1044,0.641,0.599,500,686,0.729,159,739,898,424,92,110,268,232,1994,,5.0,"
Giannis Antetokounmpo
"
6,2019-20,25,MIL,NBA,PF,63,63,1917,685,1238,0.553,89,293,0.304,596,945,0.631,0.589,398,629,0.633,140,716,856,354,61,66,230,195,1857,,4.0,"
Giannis Antetokounmpo
"
7,2020-21,26,MIL,NBA,PF,61,61,2013,626,1100,0.569,67,221,0.303,559,879,0.636,0.6,398,581,0.685,97,574,671,357,72,73,207,168,1717,,7.0,"
Giannis Antetokounmpo
"
8,2021-22,27,MIL,NBA,PF,67,67,2204,689,1245,0.553,71,242,0.293,618,1003,0.616,0.582,553,766,0.722,134,644,778,388,72,91,219,212,2002,,4.0,"
Giannis Antetokounmpo
"
0,2010-11,20,IND,NBA,SG,61,19,1265,179,395,0.453,41,138,0.297,138,257,0.537,0.505,77,101,0.762,37,187,224,65,62,26,70,127,476,,0.0,"
Paul George
"
1,2011-12,21,IND,NBA,SG,66,66,1958,281,639,0.44,90,234,0.385,191,405,0.472,0.51,146,182,0.802,56,314,370,158,108,38,117,191,798,,0.0,"
Paul George
"
2,2012-13,22,IND,NBA,SF,79,79,2972,493,1176,0.419,170,469,0.362,323,707,0.457,0.491,221,274,0.807,88,515,603,327,143,51,233,227,1377,,1.0,"
Paul George
"
3,2013-14,23,IND,NBA,SF,80,80,2898,577,1362,0.424,182,500,0.364,395,862,0.458,0.49,401,464,0.864,64,478,542,283,151,22,224,198,1737,,1.0,"
Paul George
"
4,2014-15,24,IND,NBA,SF,6,0,91,18,49,0.367,9,22,0.409,9,27,0.333,0.459,8,11,0.727,4,18,22,6,5,1,12,11,53,,0.0,"
Paul George
"
5,2015-16,25,IND,NBA,SF,81,81,2819,605,1449,0.418,210,566,0.371,395,883,0.447,0.49,454,528,0.86,79,484,563,329,152,29,265,230,1874,,0.0,"
Paul George
"
6,2016-17,26,IND,NBA,SF,75,75,2689,622,1348,0.461,195,496,0.393,427,852,0.501,0.534,336,374,0.898,58,434,492,251,119,27,220,206,1775,,0.0,"
Paul George
"
7,2017-18,27,OKC,NBA,SF,79,79,2891,576,1340,0.43,244,609,0.401,332,731,0.454,0.521,338,411,0.822,72,375,447,263,161,39,212,233,1734,,0.0,"
Paul George
"
8,2018-19,28,OKC,NBA,SF,77,77,2841,707,1614,0.438,292,757,0.386,415,857,0.484,0.529,453,540,0.839,105,523,628,318,170,34,205,214,2159,,1.0,"
Paul George
"
9,2019-20,29,LAC,NBA,SF,48,48,1419,343,782,0.439,157,381,0.412,186,401,0.464,0.539,190,217,0.876,24,248,272,185,68,20,125,113,1033,,0.0,"
Paul George
"
10,2020-21,30,LAC,NBA,SF,54,54,1821,445,953,0.467,171,416,0.411,274,537,0.51,0.557,198,228,0.868,45,314,359,280,62,24,179,132,1259,,0.0,"
Paul George
"
11,2021-22,31,LAC,NBA,SF,31,31,1077,268,636,0.421,91,257,0.354,177,379,0.467,0.493,127,148,0.858,12,201,213,176,67,13,126,74,754,,0.0,"
Paul George
"
0,2012-13,22,POR,NBA,PG,82,82,3167,553,1288,0.429,185,503,0.368,368,785,0.469,0.501,271,321,0.844,42,215,257,531,74,19,243,172,1562,,0.0,"
Damian Lillard
"
1,2013-14,23,POR,NBA,PG,82,82,2937,553,1304,0.424,218,554,0.394,335,750,0.447,0.508,371,426,0.871,35,253,288,457,64,22,193,197,1695,,0.0,"
Damian Lillard
"
2,2014-15,24,POR,NBA,PG,82,82,2925,590,1360,0.434,196,572,0.343,394,788,0.5,0.506,344,398,0.864,49,329,378,507,97,21,222,164,1720,,0.0,"
Damian Lillard
"
3,2015-16,25,POR,NBA,PG,75,75,2676,618,1474,0.419,229,610,0.375,389,864,0.45,0.497,414,464,0.892,45,257,302,512,65,28,242,165,1879,,0.0,"
Damian Lillard
"
4,2016-17,26,POR,NBA,PG,75,75,2694,661,1488,0.444,214,579,0.37,447,909,0.492,0.516,488,545,0.895,46,322,368,440,68,20,197,152,2024,,0.0,"
Damian Lillard
"
5,2017-18,27,POR,NBA,PG,73,73,2670,621,1415,0.439,227,629,0.361,394,786,0.501,0.519,493,538,0.916,62,263,325,481,77,27,206,117,1962,,0.0,"
Damian Lillard
"
6,2018-19,28,POR,NBA,PG,80,80,2838,681,1533,0.444,237,643,0.369,444,890,0.499,0.522,468,513,0.912,68,303,371,551,88,34,212,148,2067,,0.0,"
Damian Lillard
"
7,2019-20,29,POR,NBA,PG,66,66,2474,624,1349,0.463,270,674,0.401,354,675,0.524,0.563,460,518,0.888,33,251,284,530,70,22,194,114,1978,,1.0,"
Damian Lillard
"
8,2020-21,30,POR,NBA,PG,67,67,2398,602,1334,0.451,275,704,0.391,327,630,0.519,0.554,449,484,0.928,32,251,283,505,62,17,203,102,1928,,0.0,"
Damian Lillard
"
9,2021-22,31,POR,NBA,PG,29,29,1056,222,552,0.402,92,284,0.324,130,268,0.485,0.486,159,181,0.878,13,107,120,212,17,11,83,37,695,,0.0,"
Damian Lillard
"
0,2011-12,20,SAS,NBA,SF,64,39,1534,199,404,0.493,41,109,0.376,158,295,0.536,0.543,68,88,0.773,104,223,327,70,85,24,44,88,507,,0.0,"
Kawhi Leonard
"
1,2012-13,21,SAS,NBA,SF,58,57,1810,260,526,0.494,65,174,0.374,195,352,0.554,0.556,104,126,0.825,63,283,346,93,97,32,62,99,689,,0.0,"
Kawhi Leonard
"
2,2013-14,22,SAS,NBA,SF,66,65,1923,337,645,0.522,69,182,0.379,268,463,0.579,0.576,101,126,0.802,76,336,412,133,114,50,80,127,844,,0.0,"
Kawhi Leonard
"
3,2014-15,23,SAS,NBA,SF,64,64,2033,394,822,0.479,67,192,0.349,327,630,0.519,0.52,202,252,0.802,85,376,461,161,148,48,97,128,1057,,0.0,"
Kawhi Leonard
"
4,2015-16,24,SAS,NBA,SF,72,72,2380,551,1090,0.506,129,291,0.443,422,799,0.528,0.565,292,334,0.874,95,398,493,186,128,71,105,133,1523,,0.0,"
Kawhi Leonard
"
5,2016-17,25,SAS,NBA,SF,74,74,2474,636,1312,0.485,147,387,0.38,489,925,0.529,0.541,469,533,0.88,80,350,430,260,133,55,154,122,1888,,0.0,"
Kawhi Leonard
"
6,2017-18,26,SAS,NBA,SF,9,9,210,52,111,0.468,11,35,0.314,41,76,0.539,0.518,31,38,0.816,6,36,42,21,18,9,16,9,146,,0.0,"
Kawhi Leonard
"
7,2018-19,27,TOR,NBA,SF,60,60,2040,560,1129,0.496,112,302,0.371,448,827,0.542,0.546,364,426,0.854,78,361,439,199,106,24,121,87,1596,,0.0,"
Kawhi Leonard
"
8,2019-20,28,LAC,NBA,SF,57,57,1848,532,1133,0.47,123,325,0.378,409,808,0.506,0.524,356,402,0.886,54,348,402,280,103,33,149,113,1543,,1.0,"
Kawhi Leonard
"
9,2020-21,29,LAC,NBA,SF,52,52,1773,465,908,0.512,101,254,0.398,364,654,0.557,0.568,261,295,0.885,55,282,337,269,81,21,105,82,1292,,0.0,"
Kawhi Leonard
"
0,2011-12,21,GSW,NBA,SG,66,29,1608,318,718,0.443,111,268,0.414,207,450,0.46,0.52,79,91,0.868,24,137,161,133,49,20,103,155,826,,,"
Klay Thompson
"
1,2012-13,22,GSW,NBA,SG,82,82,2936,508,1205,0.422,211,526,0.401,297,679,0.437,0.509,132,157,0.841,32,274,306,183,86,45,157,237,1359,,,"
Klay Thompson
"
2,2013-14,23,GSW,NBA,SG,81,81,2868,559,1259,0.444,223,535,0.417,336,724,0.464,0.533,147,185,0.795,38,211,249,181,74,37,135,234,1488,,,"
Klay Thompson
"
3,2014-15,24,GSW,NBA,SG,77,77,2455,602,1299,0.463,239,545,0.439,363,754,0.481,0.555,225,256,0.879,27,220,247,222,87,60,149,122,1668,,,"
Klay Thompson
"
4,2015-16,25,GSW,NBA,SG,80,80,2666,651,1386,0.47,276,650,0.425,375,736,0.51,0.569,193,221,0.873,35,271,306,166,60,49,138,152,1771,,,"
Klay Thompson
"
5,2016-17,26,GSW,NBA,SG,78,78,2649,644,1376,0.468,268,647,0.414,376,729,0.516,0.565,186,218,0.853,49,236,285,160,66,40,128,139,1742,,,"
Klay Thompson
"
6,2017-18,27,GSW,NBA,SG,73,73,2506,575,1179,0.488,229,521,0.44,346,658,0.526,0.585,82,98,0.837,31,246,277,185,55,34,128,117,1461,,,"
Klay Thompson
"
7,2018-19,28,GSW,NBA,SG,78,78,2652,655,1402,0.467,241,599,0.402,414,803,0.516,0.553,129,158,0.816,37,262,299,186,84,47,115,157,1680,,,"
Klay Thompson
"
8,2021-22,31,GSW,NBA,SG,32,32,941,246,573,0.429,114,296,0.385,132,277,0.477,0.529,46,51,0.902,15,110,125,88,16,17,43,54,652,,,"
Klay Thompson
"
0,2011-12,22,CHI,NBA,SG,42,0,359,32,79,0.405,2,11,0.182,30,68,0.441,0.418,43,56,0.768,23,33,56,14,11,5,14,20,109,,0.0,"
Jimmy Butler
"
1,2012-13,23,CHI,NBA,SF,82,20,2134,239,512,0.467,40,105,0.381,199,407,0.489,0.506,187,233,0.803,136,192,328,115,78,31,62,97,705,,0.0,"
Jimmy Butler
"
2,2013-14,24,CHI,NBA,SG,67,67,2591,275,693,0.397,68,240,0.283,207,453,0.457,0.446,260,338,0.769,87,243,330,175,127,36,102,106,878,,0.0,"
Jimmy Butler
"
3,2014-15,25,CHI,NBA,SG,65,65,2513,421,912,0.462,73,193,0.378,348,719,0.484,0.502,386,463,0.834,114,265,379,212,114,36,93,108,1301,,0.0,"
Jimmy Butler
"
4,2015-16,26,CHI,NBA,SG,67,67,2474,470,1035,0.454,64,205,0.312,406,830,0.489,0.485,395,475,0.832,79,279,358,321,110,43,132,124,1399,,2.0,"
Jimmy Butler
"
5,2016-17,27,CHI,NBA,SF,76,75,2809,570,1252,0.455,91,248,0.367,479,1004,0.477,0.492,585,676,0.865,129,341,470,417,143,32,159,112,1816,,2.0,"
Jimmy Butler
"
6,2017-18,28,MIN,NBA,SG,59,59,2164,437,921,0.474,70,200,0.35,367,721,0.509,0.512,363,425,0.854,79,235,314,288,116,24,108,78,1307,,0.0,"
Jimmy Butler
"
7,2018-19,29,TOT,NBA,"SF,SG",65,65,2185,418,904,0.462,67,193,0.347,351,711,0.494,0.499,312,365,0.855,121,221,342,263,123,39,95,111,1215,,0.0,"
Jimmy Butler
"
8,2018-19,29,MIN,NBA,SG,10,10,361,74,157,0.471,17,45,0.378,57,112,0.509,0.525,48,61,0.787,16,36,52,43,24,10,14,18,213,,0.0,"
Jimmy Butler
"
9,2018-19,29,PHI,NBA,SF,55,55,1824,344,747,0.461,50,148,0.338,294,599,0.491,0.494,264,304,0.868,105,185,290,220,99,29,81,93,1002,,0.0,"
Jimmy Butler
"
10,2019-20,30,MIA,NBA,SF,58,58,1959,345,758,0.455,29,119,0.244,316,639,0.495,0.474,438,525,0.834,106,280,386,350,103,32,127,81,1157,,3.0,"
Jimmy Butler
"
11,2020-21,31,MIA,NBA,SF,52,52,1745,366,736,0.497,25,102,0.245,341,634,0.538,0.514,359,416,0.863,94,265,359,369,108,18,109,71,1116,,4.0,"
Jimmy Butler
"
12,2021-22,32,MIA,NBA,SF,57,57,1931,398,829,0.48,27,116,0.233,371,713,0.52,0.496,396,455,0.87,102,234,336,312,94,27,121,88,1219,,4.0,"
Jimmy Butler
"
0,2011-12,19,MIL,NBA,SF,42,9,479,79,169,0.467,6,23,0.261,73,146,0.5,0.485,44,54,0.815,30,71,101,22,13,7,31,45,208,,0.0,"
Tobias Harris
"
1,2012-13,20,TOT,NBA,"PF,SF",55,34,1299,233,512,0.455,34,108,0.315,199,404,0.493,0.488,103,137,0.752,73,214,287,69,32,44,66,120,603,,0.0,"
Tobias Harris
"
2,2012-13,20,MIL,NBA,SF,28,14,325,53,115,0.461,7,21,0.333,46,94,0.489,0.491,23,26,0.885,17,40,57,13,8,7,18,31,136,,0.0,"
Tobias Harris
"
3,2012-13,20,ORL,NBA,PF,27,20,974,180,397,0.453,27,87,0.31,153,310,0.494,0.487,80,111,0.721,56,174,230,56,24,37,48,89,467,,0.0,"
Tobias Harris
"
4,2013-14,21,ORL,NBA,PF,61,36,1850,332,716,0.464,32,126,0.254,300,590,0.508,0.486,197,244,0.807,88,336,424,82,41,24,78,143,893,,0.0,"
Tobias Harris
"
5,2014-15,22,ORL,NBA,SF,68,63,2369,442,949,0.466,87,239,0.364,355,710,0.5,0.512,193,245,0.788,73,357,430,124,69,36,115,134,1164,,0.0,"
Tobias Harris
"
6,2015-16,23,TOT,NBA,PF,76,74,2513,417,889,0.469,80,239,0.335,337,650,0.518,0.514,202,243,0.831,96,414,510,169,65,40,108,153,1116,,0.0,"
Tobias Harris
"
7,2015-16,23,ORL,NBA,PF,49,49,1610,251,541,0.464,47,151,0.311,204,390,0.523,0.507,120,153,0.784,71,271,342,99,47,28,78,91,669,,0.0,"
Tobias Harris
"
8,2015-16,23,DET,NBA,PF,27,25,903,166,348,0.477,33,88,0.375,133,260,0.512,0.524,82,90,0.911,25,143,168,70,18,12,30,62,447,,0.0,"
Tobias Harris
"
9,2016-17,24,DET,NBA,PF,82,48,2567,511,1063,0.481,109,314,0.347,402,749,0.537,0.532,190,226,0.841,63,353,416,142,60,39,96,133,1321,,0.0,"
Tobias Harris
"
10,2017-18,25,TOT,NBA,PF,80,80,2668,562,1221,0.46,183,445,0.411,379,776,0.488,0.535,179,216,0.829,58,379,437,192,71,35,105,164,1486,,0.0,"
Tobias Harris
"
11,2017-18,25,DET,NBA,PF,48,48,1563,320,709,0.451,113,276,0.409,207,433,0.478,0.531,115,136,0.846,36,208,244,94,34,15,51,91,868,,0.0,"
Tobias Harris
"
12,2017-18,25,LAC,NBA,PF,32,32,1105,242,512,0.473,70,169,0.414,172,343,0.501,0.541,64,80,0.8,22,171,193,98,37,20,54,73,618,,0.0,"
Tobias Harris
"
13,2018-19,26,TOT,NBA,PF,82,82,2847,611,1254,0.487,156,393,0.397,455,861,0.528,0.549,266,307,0.866,69,576,645,229,51,37,151,184,1644,,0.0,"
Tobias Harris
"
14,2018-19,26,LAC,NBA,PF,55,55,1903,424,855,0.496,112,258,0.434,312,597,0.523,0.561,192,219,0.877,37,395,432,150,40,24,109,123,1152,,0.0,"
Tobias Harris
"
15,2018-19,26,PHI,NBA,PF,27,27,944,187,399,0.469,44,135,0.326,143,264,0.542,0.524,74,88,0.841,32,181,213,79,11,13,42,61,492,,0.0,"
Tobias Harris
"
16,2019-20,27,PHI,NBA,PF,72,72,2469,553,1173,0.471,131,357,0.367,422,816,0.517,0.527,174,216,0.806,69,426,495,227,53,40,104,165,1411,,0.0,"
Tobias Harris
"
17,2020-21,28,PHI,NBA,PF,62,62,2014,473,924,0.512,82,208,0.394,391,716,0.546,0.556,182,204,0.892,62,357,419,220,55,51,107,119,1210,,0.0,"
Tobias Harris
"
18,2021-22,29,PHI,NBA,PF,73,73,2543,493,1022,0.482,101,275,0.367,392,747,0.525,0.532,170,202,0.842,77,419,496,252,47,43,116,164,1257,,1.0,"
Tobias Harris
"
0,2012-13,21,DET,NBA,SG,27,0,475,62,141,0.44,14,45,0.311,48,96,0.5,0.489,27,32,0.844,4,46,50,28,15,4,11,53,165,,0.0,"
Khris Middleton
"
1,2013-14,22,MIL,NBA,SF,82,64,2460,376,854,0.44,120,290,0.414,256,564,0.454,0.511,118,137,0.861,60,250,310,169,83,20,123,243,990,,0.0,"
Khris Middleton
"
2,2014-15,23,MIL,NBA,SF,79,58,2378,406,869,0.467,109,268,0.407,297,601,0.494,0.53,134,156,0.859,48,299,347,182,122,11,113,183,1055,,0.0,"
Khris Middleton
"
3,2015-16,24,MIL,NBA,SG,79,79,2852,507,1142,0.444,143,361,0.396,364,781,0.466,0.507,277,312,0.888,44,258,302,331,131,19,180,204,1434,,0.0,"
Khris Middleton
"
4,2016-17,25,MIL,NBA,SF,29,23,889,150,333,0.45,45,104,0.433,105,229,0.459,0.518,81,92,0.88,11,112,123,99,41,7,65,79,426,,0.0,"
Khris Middleton
"
5,2017-18,26,MIL,NBA,SF,82,82,2982,593,1272,0.466,146,407,0.359,447,865,0.517,0.524,320,362,0.884,45,384,429,328,119,21,191,270,1652,,1.0,"
Khris Middleton
"
6,2018-19,27,MIL,NBA,SF,77,77,2393,506,1148,0.441,179,474,0.378,327,674,0.485,0.519,216,258,0.837,50,411,461,331,80,7,174,172,1407,,0.0,"
Khris Middleton
"
7,2019-20,28,MIL,NBA,SF,62,59,1853,471,947,0.497,147,354,0.415,324,593,0.546,0.575,208,227,0.916,44,338,382,265,53,7,137,142,1297,,0.0,"
Khris Middleton
"
8,2020-21,29,MIL,NBA,SF,68,68,2269,511,1074,0.476,151,365,0.414,360,709,0.508,0.546,212,236,0.898,54,352,406,370,74,9,178,160,1385,,0.0,"
Khris Middleton
"
9,2021-22,30,MIL,NBA,SF,66,66,2141,452,1021,0.443,162,434,0.373,290,587,0.494,0.522,259,291,0.89,41,315,356,358,76,18,190,160,1325,,0.0,"
Khris Middleton
"
0,2012-13,19,NOH,NBA,PF,64,60,1846,349,676,0.516,0,6,0.0,349,670,0.521,0.516,169,225,0.751,165,357,522,63,75,112,89,158,867,,0.0,"
Anthony Davis
"
1,2013-14,20,NOP,NBA,PF,67,66,2358,522,1005,0.519,2,9,0.222,520,996,0.522,0.52,348,440,0.791,207,466,673,105,89,189,109,200,1394,,0.0,"
Anthony Davis
"
2,2014-15,21,NOP,NBA,PF,68,68,2455,642,1199,0.535,1,12,0.083,641,1187,0.54,0.536,371,461,0.805,173,523,696,149,100,200,95,141,1656,,0.0,"
Anthony Davis
"
3,2015-16,22,NOP,NBA,C,61,61,2164,560,1136,0.493,35,108,0.324,525,1028,0.511,0.508,326,430,0.758,130,497,627,116,78,125,121,148,1481,,0.0,"
Anthony Davis
"
4,2016-17,23,NOP,NBA,C,75,75,2708,770,1526,0.505,40,134,0.299,730,1392,0.524,0.518,519,647,0.802,172,712,884,157,94,167,181,168,2099,,0.0,"
Anthony Davis
"
5,2017-18,24,NOP,NBA,PF,75,75,2727,780,1462,0.534,55,162,0.34,725,1300,0.558,0.552,495,598,0.828,187,645,832,174,115,193,162,159,2110,,1.0,"
Anthony Davis
"
6,2018-19,25,NOP,NBA,C,56,56,1850,530,1026,0.517,48,145,0.331,482,881,0.547,0.54,344,433,0.794,174,498,672,218,88,135,112,132,1452,,0.0,"
Anthony Davis
"
7,2019-20,26,LAL,NBA,PF,62,62,2131,551,1096,0.503,72,218,0.33,479,878,0.546,0.536,444,525,0.846,142,435,577,200,91,143,154,156,1618,,0.0,"
Anthony Davis
"
8,2020-21,27,LAL,NBA,PF,36,36,1162,301,613,0.491,26,100,0.26,275,513,0.536,0.512,158,214,0.738,62,224,286,110,45,59,74,60,786,,0.0,"
Anthony Davis
"
9,2021-22,28,LAL,NBA,C,40,40,1404,370,695,0.532,13,70,0.186,357,625,0.571,0.542,174,244,0.713,106,288,394,122,49,90,82,97,927,,0.0,"
Anthony Davis
"
0,2013-14,21,UTA,NBA,C,45,0,434,36,74,0.486,0,0,,36,74,0.486,0.486,32,65,0.492,51,104,155,7,8,41,32,57,104,,,"
Rudy Gobert
"
1,2014-15,22,UTA,NBA,C,82,37,2158,258,427,0.604,0,2,0.0,258,425,0.607,0.604,170,273,0.623,265,510,775,109,64,189,111,175,686,,,"
Rudy Gobert
"
2,2015-16,23,UTA,NBA,C,61,60,1932,198,354,0.559,0,0,,198,354,0.559,0.559,161,283,0.569,208,460,668,91,45,135,114,163,557,,,"
Rudy Gobert
"
3,2016-17,24,UTA,NBA,C,81,81,2744,413,625,0.661,0,1,0.0,413,624,0.662,0.661,311,476,0.653,314,721,1035,97,49,214,147,246,1137,,,"
Rudy Gobert
"
4,2017-18,25,UTA,NBA,C,56,56,1816,276,444,0.622,0,0,,276,444,0.622,0.622,204,299,0.682,165,436,601,80,44,129,107,153,756,,,"
Rudy Gobert
"
5,2018-19,26,UTA,NBA,C,81,80,2577,476,712,0.669,0,0,,476,712,0.669,0.669,332,522,0.636,309,732,1041,161,66,187,130,231,1284,,,"
Rudy Gobert
"
6,2019-20,27,UTA,NBA,C,68,68,2333,386,557,0.693,0,0,,386,557,0.693,0.693,254,403,0.63,230,686,916,101,51,135,130,215,1026,,,"
Rudy Gobert
"
