,Rk,Player,Tm,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,Signed Using,Guaranteed,Link
137,138,Jaren Jackson Jr.,MEM,"$9,180,560","$23,437,500","$25,312,500","$27,187,500","$29,062,500",,1st Round Pick,"$114,180,560",https://www.basketball-reference.com/players/j/jacksja02.html
138,139,James Wiseman,GSW,"$9,166,800","$9,603,360","$12,119,440",,,,1st Round Pick,"$18,770,160",https://www.basketball-reference.com/players/w/wisemja01.html
139,140,Nicolas Batum,CHO,"$12,213,507","$12,372,008",,,,,,"$18,086,956",https://www.basketball-reference.com/players/b/batumni01.html
140,141,Dario Šarić,PHO,"$9,000,000","$9,666,667",,,,,Bird,"$18,666,667",https://www.basketball-reference.com/players/s/saricda01.html
141,142,Jalen Green,HOU,"$8,992,200","$9,441,720","$9,891,600","$12,483,199",,,1st Round Pick,"$18,433,920",https://www.basketball-reference.com/players/g/greenja05.html
142,143,Nerlens Noel,NYK,"$8,800,000","$9,240,000","$9,680,000",,,,Cap Space,"$18,040,000",https://www.basketball-reference.com/players/n/noelne01.html
143,144,Jakob Poeltl,SAS,"$8,750,000","$9,398,148",,,,,Bird,"$18,148,148",https://www.basketball-reference.com/players/p/poeltja01.html
144,145,Maxi Kleber,DAL,"$8,750,000","$9,000,000",,,,,Early Bird Rights,"$8,750,000",https://www.basketball-reference.com/players/k/klebima01.html
145,146,Thomas Bryant,WAS,"$8,730,159",,,,,,Early Bird Rights,"$8,730,159",https://www.basketball-reference.com/players/b/bryanth01.html
146,147,Kemba Walker,NYK,"$34,967,442","$36,596,549",,,,,Cap Space,"$17,894,491",https://www.basketball-reference.com/players/w/walkeke02.html
147,148,Royce O'Neale,UTA,"$8,678,571","$9,321,429","$9,964,286",,,,Cap space,"$27,964,286",https://www.basketball-reference.com/players/o/onealro01.html
148,149,RJ Barrett,NYK,"$8,623,920","$10,900,635",,,,,1st Round Pick,"$19,524,555",https://www.basketball-reference.com/players/b/barrerj01.html
149,150,Alex Caruso,CHI,"$8,604,651","$9,034,884","$9,465,116","$9,895,349",,,MLE,"$37,000,000",https://www.basketball-reference.com/players/c/carusal01.html
150,151,Delon Wright,ATL,"$8,526,316",,,,,,Sign and Trade,"$8,526,316",https://www.basketball-reference.com/players/w/wrighde01.html
151,152,De'Anthony Melton,MEM,"$8,437,500","$9,062,500","$9,687,500",,,,Early Bird,"$27,187,500",https://www.basketball-reference.com/players/m/meltode01.html
152,153,Daniel Theis,BOS,"$8,372,093","$8,790,698","$9,209,302","$9,627,907",,,Sign and Trade,"$36,000,000",https://www.basketball-reference.com/players/t/theisda01.html
153,154,Monte Morris,DEN,"$8,333,333","$9,000,000","$9,666,667",,,,Bird,"$27,000,000",https://www.basketball-reference.com/players/m/morrimo01.html
154,155,Trae Young,ATL,"$8,326,471","$29,750,000","$32,130,000","$34,510,000","$36,890,000","$39,270,000",1st Round Pick,"$180,876,471",https://www.basketball-reference.com/players/y/youngtr01.html
155,156,JaMychal Green,DEN,"$8,292,683","$8,707,317",,,,,Non Bird,"$17,000,000",https://www.basketball-reference.com/players/g/greenja01.html
156,157,LaMelo Ball,CHO,"$8,231,760","$8,623,920","$10,900,635",,,,1st Round Pick,"$16,855,680",https://www.basketball-reference.com/players/b/ballla01.html
157,158,Seth Curry,BRK,"$8,186,047","$8,558,140",,,,,MLE,"$16,744,187",https://www.basketball-reference.com/players/c/curryse01.html
158,159,Mason Plumlee,CHO,"$8,137,500","$8,525,000",,,,,Cap space,"$16,662,500",https://www.basketball-reference.com/players/p/plumlma01.html
159,160,Evan Mobley,CLE,"$8,075,160","$8,478,720","$8,882,760","$11,227,809",,,1st Round Pick,"$16,553,880",https://www.basketball-reference.com/players/m/mobleev01.html
160,161,Cedi Osman,CLE,"$8,050,000","$7,350,000","$6,650,000",,,,MLE,"$15,400,000",https://www.basketball-reference.com/players/o/osmande01.html
161,162,DeAndre Jordan,DET,"$11,109,327","$7,827,907",,,,,,"$15,703,440",https://www.basketball-reference.com/players/j/jordade01.html
162,163,De'Andre Hunter,ATL,"$7,775,400","$9,835,881",,,,,1st Round Pick,"$17,611,281",https://www.basketball-reference.com/players/h/huntede01.html
163,164,Mo Bamba,ORL,"$7,568,742",,,,,,1st Round Pick,"$7,568,742",https://www.basketball-reference.com/players/b/bambamo01.html
164,165,Tyus Jones,MEM,"$7,522,200",,,,,,MLE,"$7,522,200",https://www.basketball-reference.com/players/j/jonesty01.html
165,166,Ivica Zubac,LAC,"$7,518,518","$7,518,518",,,,,Bird Rights,"$7,518,518",https://www.basketball-reference.com/players/z/zubaciv01.html
166,167,T.J. McConnell,IND,"$7,500,000","$8,100,000","$8,700,000","$9,300,000",,,Early Bird,"$29,300,000",https://www.basketball-reference.com/players/m/mccontj01.html
167,168,Patrick Williams,CHI,"$7,422,000","$7,775,400","$9,835,881",,,,1st Round Pick,"$15,197,400",https://www.basketball-reference.com/players/w/willipa01.html
168,169,Scottie Barnes,TOR,"$7,280,520","$7,644,720","$8,008,560","$10,130,828",,,1st Round Pick,"$14,925,240",https://www.basketball-reference.com/players/b/barnesc01.html
169,170,Darius Garland,CLE,"$7,040,880","$8,920,795",,,,,1st Round Pick,"$15,961,675",https://www.basketball-reference.com/players/g/garlada01.html
170,171,Chris Boucher,TOR,"$7,009,615",,,,,,Early Bird,"$7,009,615",https://www.basketball-reference.com/players/b/bouchch01.html
171,172,D.J. Augustin,HOU,"$7,622,467","$333,333",,,,,,"$7,333,333",https://www.basketball-reference.com/players/a/augusdj01.html
172,173,P.J. Tucker,MIA,"$7,000,000","$7,350,000",,,,,MLE,"$7,000,000",https://www.basketball-reference.com/players/t/tuckepj01.html
173,174,Zach Collins,SAS,"$6,984,127","$7,333,333","$7,682,540",,,,Cap Space,"$22,000,000",https://www.basketball-reference.com/players/c/colliza01.html
174,175,Wendell Carter Jr.,ORL,"$6,920,027","$14,150,000","$13,050,000","$11,950,000","$10,850,000",,1st Round Pick,"$50,000,000",https://www.basketball-reference.com/players/c/cartewe01.html
175,176,Isaac Okoro,CLE,"$6,720,720","$7,040,880","$8,920,795",,,,1st Round Pick,"$13,761,600",https://www.basketball-reference.com/players/o/okorois01.html
176,177,Jalen Suggs,ORL,"$6,593,040","$6,922,440","$7,252,200","$9,188,537",,,1st Round Pick,"$13,515,480",https://www.basketball-reference.com/players/s/suggsja01.html
177,178,Cameron Payne,PHO,"$6,500,000","$6,000,000","$6,500,000",,,,Early Bird,"$14,500,000",https://www.basketball-reference.com/players/p/payneca01.html
178,179,Joakim Noah,NYK,"$6,431,666",,,,,,,"$6,431,666",https://www.basketball-reference.com/players/n/noahjo01.html
179,180,Jarrett Culver,MEM,"$6,395,160","$8,109,063",,,,,1st Round Pick,"$6,395,160",https://www.basketball-reference.com/players/c/culveja01.html
180,181,Khem Birch,TOR,"$6,350,000","$6,667,750","$6,985,000",,,,MLE,"$20,002,750",https://www.basketball-reference.com/players/b/birchkh01.html
181,182,Collin Sexton,CLE,"$6,349,671",,,,,,1st Round Pick,"$6,349,671",https://www.basketball-reference.com/players/s/sextoco01.html
182,183,Juancho Hernangómez,UTA,"$6,175,440","$6,632,880",,,,,Bird,"$6,175,440",https://www.basketball-reference.com/players/h/hernaju01.html
183,184,Onyeka Okongwu,ATL,"$6,104,280","$6,395,160","$8,109,063",,,,1st Round Pick,"$12,499,440",https://www.basketball-reference.com/players/o/okongon01.html
184,185,Justin Holiday,SAC,"$6,006,420","$6,292,440",,,,,Non Bird,"$12,298,860",https://www.basketball-reference.com/players/h/holidju01.html
185,186,Josh Giddey,OKC,"$5,988,000","$6,287,400","$6,587,040","$8,352,367",,,1st Round Pick,"$12,275,400",https://www.basketball-reference.com/players/g/giddejo01.html
186,187,Rudy Gay,UTA,"$5,890,000","$6,184,500","$6,479,000",,,,Mini MLE,"$12,074,500",https://www.basketball-reference.com/players/g/gayru01.html
187,188,Dennis Schröder,HOU,"$5,890,000",,,,,,Mini MLE,"$5,890,000",https://www.basketball-reference.com/players/s/schrode01.html
188,189,Patty Mills,BRK,"$5,890,000","$6,184,500",,,,,Mini MLE,"$5,890,000",https://www.basketball-reference.com/players/m/millspa02.html
189,190,Kevin Knox,ATL,"$5,845,978",,,,,,1st Round Pick,"$5,845,978",https://www.basketball-reference.com/players/k/knoxke01.html
190,191,Coby White,CHI,"$5,837,760","$7,413,955",,,,,1st Round Pick,"$5,837,760",https://www.basketball-reference.com/players/w/whiteco01.html
191,192,Timofey Mozgov,ORL,"$5,573,334",,,,,,,"$5,573,334",https://www.basketball-reference.com/players/m/mozgoti01.html
192,193,Killian Hayes,DET,"$5,572,680","$5,837,760","$7,413,955",,,,1st Round Pick,"$11,410,440",https://www.basketball-reference.com/players/h/hayeski01.html
193,194,Mikal Bridges,PHO,"$5,557,725","$20,089,286","$21,696,429","$23,303,571","$24,910,714",,1st Round Pick,"$95,557,725",https://www.basketball-reference.com/players/b/bridgmi01.html
194,195,Shai Gilgeous-Alexander,OKC,"$5,495,532","$29,750,000","$32,130,000","$34,510,000","$36,890,000","$39,270,000",1st Round Pick,"$178,045,532",https://www.basketball-reference.com/players/g/gilgesh01.html
195,196,Jonathan Kuminga,GSW,"$5,466,360","$5,739,960","$6,012,720","$7,636,154",,,1st Round Pick,"$11,206,320",https://www.basketball-reference.com/players/k/kuminjo01.html
196,197,Miles Bridges,CHO,"$5,421,493",,,,,,1st Round Pick,"$5,421,493",https://www.basketball-reference.com/players/b/bridgmi02.html
197,198,Jaxson Hayes,NOP,"$5,348,280","$6,803,012",,,,,1st Round Pick,"$12,151,292",https://www.basketball-reference.com/players/h/hayesja02.html
198,199,Pat Connaughton,MIL,"$5,333,333","$5,728,395",,,,,Early Bird,"$5,333,333",https://www.basketball-reference.com/players/c/connapa01.html
199,200,Michael Porter Jr.,DEN,"$5,258,735","$29,750,000","$32,130,000","$34,510,000","$36,890,000","$39,270,000",1st Round Pick,"$150,538,735",https://www.basketball-reference.com/players/p/portemi01.html
200,201,Ryan Anderson,MIA,"$5,214,584",,,,,,,"$5,214,584",https://www.basketball-reference.com/players/a/anderry01.html
201,202,Hamidou Diallo,DET,"$5,200,000","$5,200,000",,,,,Bird,"$5,200,000",https://www.basketball-reference.com/players/d/diallha01.html
202,203,Kevon Looney,GSW,"$5,178,572",,,,,,Bird Rights,"$5,178,572",https://www.basketball-reference.com/players/l/looneke01.html
203,204,Troy Brown Jr.,CHI,"$5,170,564",,,,,,1st Round Pick,"$5,170,564",https://www.basketball-reference.com/players/b/browntr01.html
204,205,Obi Toppin,NYK,"$5,105,160","$5,348,280","$6,803,012",,,,1st Round Pick,"$10,453,440",https://www.basketball-reference.com/players/t/toppiob01.html
205,206,Franz Wagner,ORL,"$5,007,840","$5,258,280","$5,508,720","$7,007,092",,,1st Round Pick,"$10,266,120",https://www.basketball-reference.com/players/w/wagnefr01.html
206,207,Josh Jackson,SAC,"$5,005,350",,,,,,Room Exception,"$5,005,350",https://www.basketball-reference.com/players/j/jacksjo02.html
207,208,JaVale McGee,PHO,"$5,000,000",,,,,,MLE,"$5,000,000",https://www.basketball-reference.com/players/m/mcgeeja01.html
208,209,Robin Lopez,ORL,"$5,000,000",,,,,,MLE,"$5,000,000",https://www.basketball-reference.com/players/l/lopezro01.html
209,210,Kendrick Nunn,LAL,"$5,000,000","$5,250,000",,,,,Mini MLE,"$5,000,000",https://www.basketball-reference.com/players/n/nunnke01.html
210,211,Lou Williams,ATL,"$5,000,000",,,,,,Bird,"$5,000,000",https://www.basketball-reference.com/players/w/willilo02.html
211,212,Luol Deng,LAL,"$4,990,000",,,,,,,"$4,990,000",https://www.basketball-reference.com/players/d/denglu01.html
212,213,Rui Hachimura,WAS,"$4,916,160","$6,263,188",,,,,1st Round Pick,"$11,179,348",https://www.basketball-reference.com/players/h/hachiru01.html
213,214,Garrett Temple,NOP,"$4,910,000","$5,155,500","$5,401,000",,,,Sign and Trade,"$10,065,500",https://www.basketball-reference.com/players/t/templga01.html
214,215,Cory Joseph,DET,"$7,310,000","$5,155,000",,,,,Room Exception,"$7,310,000",https://www.basketball-reference.com/players/j/josepco01.html
215,216,Taj Gibson,NYK,"$4,910,000","$5,155,500",,,,,Room Exception,"$4,910,000",https://www.basketball-reference.com/players/g/gibsota01.html
216,217,Torrey Craig,PHO,"$4,878,049","$5,121,951",,,,,MLE,"$10,000,000",https://www.basketball-reference.com/players/c/craigto01.html
